classification,orientation,distance,time,predicted
different,0.47957,0.186,0.39313,different
different,0.43904,0.328,0.0023,different
same,0,0.002,0.00014,same
different,0.47957,0.186,0.39315,different
different,0.43904,0.328,0.00232,different
same,0,0,0.00002,same
different,0.47957,0.184,0.39327,different
different,0.43904,0.329,0.00244,different
same,0,0.002,0.00012,same
different,0.47957,0.184,0.39329,different
different,0.43904,0.329,0.00246,different
same,0,0,0.00002,same
different,0.47957,0.183,0.39343,different
different,0.43904,0.33,0.0026,different
same,0,0.002,0.00014,same
different,0.47957,0.183,0.39344,different
different,0.43904,0.33,0.00261,different
same,0,0,0.00001,same
different,0.31338,0.181,0.39356,different
different,0.60523,0.331,0.00273,different
same,0.16619,0.002,0.00012,same
different,0.31338,0.181,0.39365,different
different,0.60523,0.331,0.00282,different
same,0,0,0.00009,same
different,0.31338,0.18,0.3937,different
different,0.60523,0.332,0.00287,different
same,0,0.002,0.00005,same
different,0.31338,0.18,0.39372,different
different,0.60523,0.332,0.00289,different
same,0,0,0.00002,same
different,0.31338,0.178,0.39386,different
different,0.60523,0.333,0.00303,different
same,0,0.002,0.00014,same
different,0.31338,0.178,0.39388,different
different,0.60523,0.333,0.00305,different
same,0,0,0.00003,same
different,0.31338,0.177,0.394,different
different,0.60523,0.334,0.00317,different
same,0,0.002,0.00011,same
different,0.31338,0.177,0.39401,different
different,0.60523,0.334,0.00318,different
same,0,0,0.00001,same
different,0.31338,0.175,0.39415,different
different,0.60523,0.335,0.00332,different
same,0,0.002,0.00014,same
different,0.31338,0.175,0.39416,different
different,0.60523,0.335,0.00333,different
same,0,0,0.00002,same
different,0.31338,0.173,0.39429,different
different,0.60523,0.337,0.00347,different
same,0,0.002,0.00013,same
different,0.31338,0.173,0.39431,different
different,0.60523,0.337,0.00348,different
same,0,0,0.00002,same
different,0.31338,0.171,0.39443,different
different,0.60523,0.338,0.00361,different
same,0,0.002,0.00012,same
different,0.31338,0.171,0.39445,different
different,0.60523,0.338,0.00362,different
same,0,0,0.00002,same
different,0.31338,0.169,0.39466,different
different,0.60523,0.34,0.00383,different
same,0,0.002,0.00021,same
different,0.31338,0.169,0.39467,different
different,0.60523,0.34,0.00384,different
same,0,0,0.00001,same
different,0.31338,0.166,0.39473,different
different,0.60523,0.341,0.0039,different
same,0,0.003,0.00006,same
different,0.31338,0.166,0.39474,different
different,0.60523,0.341,0.00391,different
same,0,0,0.00001,same
different,0.46623,0.164,0.39489,different
different,0.45238,0.343,0.00406,different
same,0.15285,0.003,0.00015,same
different,0.46623,0.164,0.39491,different
different,0.45238,0.343,0.00408,different
same,0,0,0.00002,same
different,0.46623,0.162,0.39502,different
different,0.45238,0.345,0.00419,different
same,0,0.003,0.00011,same
different,0.46623,0.162,0.39504,different
different,0.45238,0.345,0.00421,different
same,0,0,0.00002,same
different,0.46623,0.159,0.39517,different
different,0.45238,0.347,0.00434,different
same,0,0.003,0.00013,same
different,0.46623,0.159,0.39518,different
different,0.45238,0.347,0.00435,different
same,0,0,0.00001,same
different,0.46623,0.157,0.39531,different
different,0.45238,0.35,0.00448,different
same,0,0.003,0.00013,same
different,0.46623,0.157,0.39533,different
different,0.45238,0.35,0.0045,different
same,0,0,0.00002,same
different,0.46623,0.153,0.39546,different
different,0.45238,0.352,0.00463,different
same,0,0.004,0.00013,same
different,0.46623,0.153,0.39548,different
different,0.45238,0.352,0.00465,different
same,0,0,0.00002,same
different,0.46623,0.15,0.39561,different
different,0.45238,0.356,0.00478,different
same,0,0.004,0.00013,same
different,0.46623,0.15,0.39569,different
different,0.45238,0.356,0.00487,different
same,0,0,0.00009,same
different,0.46623,0.147,0.39576,different
different,0.45238,0.359,0.00493,different
same,0,0.005,0.00006,same
different,0.46623,0.147,0.39577,different
different,0.45238,0.359,0.00494,different
same,0,0,0.00002,same
different,0.46623,0.143,0.3959,different
different,0.45238,0.364,0.00508,different
same,0,0.005,0.00013,same
different,0.46623,0.143,0.39592,different
different,0.45238,0.364,0.00509,different
same,0,0,0.00002,same
different,0.46623,0.139,0.39604,different
different,0.45238,0.368,0.00521,different
same,0,0.006,0.00011,same
different,0.46623,0.139,0.39605,different
different,0.45238,0.368,0.00522,different
same,0,0,0.00002,same
different,0.46623,0.135,0.39619,different
different,0.45238,0.373,0.00536,different
same,0,0.005,0.00014,same
different,0.46623,0.135,0.39621,different
different,0.45238,0.373,0.00538,different
same,0,0,0.00002,same
different,0.2813,0.131,0.39633,different
different,0.63731,0.378,0.0055,different
same,0.18493,0.006,0.00012,same
different,0.2813,0.131,0.39635,different
different,0.63731,0.378,0.00552,different
same,0,0,0.00002,same
different,0.2813,0.126,0.39648,different
different,0.63731,0.383,0.00565,different
same,0,0.007,0.00013,same
different,0.2813,0.126,0.3965,different
different,0.63731,0.383,0.00567,different
same,0,0,0.00002,same
different,0.2813,0.122,0.39662,different
different,0.63731,0.39,0.00579,different
same,0,0.007,0.00012,same
different,0.2813,0.122,0.39671,different
different,0.63731,0.39,0.00588,different
same,0,0,0.00009,same
different,0.2813,0.118,0.39677,different
different,0.63731,0.396,0.00594,different
same,0,0.007,0.00006,same
different,0.2813,0.118,0.39679,different
different,0.63731,0.396,0.00596,different
same,0,0,0.00002,same
different,0.2813,0.114,0.39693,different
different,0.63731,0.403,0.0061,different
same,0,0.008,0.00014,same
different,0.2813,0.114,0.39695,different
different,0.63731,0.403,0.00612,different
same,0,0,0.00002,same
different,0.2813,0.111,0.39706,different
different,0.63731,0.41,0.00623,different
same,0,0.008,0.00011,same
different,0.2813,0.111,0.39708,different
different,0.63731,0.41,0.00625,different
same,0,0,0.00002,same
different,0.2813,0.108,0.39721,different
different,0.63731,0.418,0.00638,different
same,0,0.008,0.00013,same
different,0.2813,0.108,0.39723,different
different,0.63731,0.418,0.0064,different
same,0,0,0.00002,same
different,0.09762,0.105,0.39735,different
different,0.82099,0.425,0.00652,different
same,0.18368,0.008,0.00012,same
different,0.09762,0.105,0.39737,different
different,0.82099,0.425,0.00654,different
same,0,0,0.00002,same
different,0.09762,0.103,0.39751,different
different,0.82099,0.433,0.00668,different
same,0,0.009,0.00014,same
different,0.09762,0.103,0.39751,different
different,0.82099,0.433,0.00669,different
same,0,0,0.00001,same
different,0.09762,0.102,0.39765,different
different,0.82099,0.441,0.00682,different
same,0,0.009,0.00013,same
different,0.09762,0.102,0.39774,different
different,0.82099,0.441,0.00691,different
same,0,0,0.0001,same
different,0.09762,0.101,0.39779,different
different,0.82099,0.449,0.00696,different
same,0,0.008,0.00004,same
different,0.09762,0.101,0.3978,different
different,0.82099,0.449,0.00697,different
same,0,0,0.00002,same
different,0.09762,0.102,0.39795,different
different,0.82099,0.457,0.00712,different
same,0,0.009,0.00015,same
different,0.09762,0.102,0.39797,different
different,0.82099,0.457,0.00714,different
same,0,0,0.00002,same
different,0.09762,0.103,0.39808,different
different,0.82099,0.465,0.00725,different
same,0,0.009,0.00011,same
different,0.09762,0.103,0.39809,different
different,0.82099,0.465,0.00726,different
same,0,0,0.00001,same
different,0.09762,0.104,0.39823,different
different,0.82099,0.474,0.0074,different
same,0,0.009,0.00014,same
different,0.09762,0.104,0.39824,different
different,0.82099,0.474,0.00741,different
same,0,0,0.00001,same
